Account,Region,date_header,2010-09-08
 Surplus, St. Louis,2010-09-15,239
 Surplus, Minneapolis,2010-09-15,712
 Surplus, Kansas City,2010-09-15,210
 Surplus, Dallas,2010-09-15,353
 Surplus, San Francisco,2010-09-15,1688
 Other capital,,2010-09-15,3988
 Other capital, Boston,2010-09-15,34
 Other capital, New York,2010-09-15,611
 Other capital, Philadelphia,2010-09-15,60
 Other capital, Cleveland,2010-09-15,60
 Other capital, Richmond,2010-09-15,157
 Other capital, Atlanta,2010-09-15,126
 Other capital, Chicago,2010-09-15,145
 Other capital, St. Louis,2010-09-15,34
 Other capital, Minneapolis,2010-09-15,110
 Other capital, Kansas City,2010-09-15,40
 Other capital, Dallas,2010-09-15,96
 Other capital, San Francisco,2010-09-15,2515
 Total Liabilities and Capital,,2010-09-15,2299441
 Total Liabilities and Capital, Boston,2010-09-15,58950
 Total Liabilities and Capital, New York,2010-09-15,1106072
 Total Liabilities and Capital, Philadelphia,2010-09-15,79796
 Total Liabilities and Capital, Cleveland,2010-09-15,60601
 Total Liabilities and Capital, Richmond,2010-09-15,257364
 Total Liabilities and Capital, Atlanta,2010-09-15,161825
 Total Liabilities and Capital, Chicago,2010-09-15,124100
 Total Liabilities and Capital, St. Louis,2010-09-15,42436
 Total Liabilities and Capital, Minneapolis,2010-09-15,41312
 Total Liabilities and Capital, Kansas City,2010-09-15,54955
 Total Liabilities and Capital, Dallas,2010-09-15,87963
 Total Liabilities and Capital, San Francisco,2010-09-15,224066
